#,Hun,Old,Lan,H_xtra,o_extra,H_IPA,o_IPA
1,mese,aća,FP,,,mɛʃɛ,atɕa
2,ágy,aδ̕ɜ,FU,,oδ̕ɜ,aːɟ,aðʲɜ
3,al,ala,U,,,ɒl,ala
4,áld,alɜ,FU,,,aːld,alɜ
5,ad,amta,FU,,,ɒd,amta
6,old,aŋa,FU,,,old,aŋa
7,aj,aŋe,U,,,ɒj,aŋe
8,apa,appe,FU,,,ɒpɒ,appe
9,ár,arwa,FU,,arγa,aːr,arβa
10,árt,arɜ,FU,,,aːrt,arɜ
11,ének,äne,FU,,,eːnɛk,æne
12,ég,äŋɜ,FU,,,eːɡ,æŋɜ
13,szalad,ćaδa,FU,,śaδa,sɒlɒd,tɕaða
14,zaj,ćaka,FU,,,zɒj,tɕaka
15,szeg,ćäŋkɜ,FU,,śäŋkɜ,sɛɡ,tɕæŋkɜ
16,ѕért,ćärke,FU,,,ѕeːrt,tɕærke
17,szűr,ćerɜ,FU,,,syːr,tɕerɜ
18,süh,ćiklä,U,,"ćüklä, ćikĺä ćükĺä",ʃyh,tɕiklæ
19,seg,ćiŋkä,FU, Balagseg,ćüŋkä,ʃɛɡ,tɕiŋkæ
20,csomó,ćolme,FU,,,t͡ʃomoː,tɕolme
21,csorog,ćorɜ,U,,,t͡ʃoroɡ,tɕorɜ
22,szú,ćuγɜ,FU,,"ćukɜ, śuγɜ śukɜ",suː,tɕuɣɜ
23,csupor,ćuppɜ,FU,,,t͡ʃupor,tɕuppɜ
24,csillog,ćȣlkɜ,FU,,ć¨lkɜ,t͡ʃilloɡ,tɕȣlkɜ
25,csün,ć¨nɜ,U,,,t͡ʃyn,tɕ¨nɜ
26,ѕápad,čappɜ,FU,,,ѕaːpɒd,t͡ʃappɜ
27,ѕavanyú,čawɜ,Ug,,čapa,ѕɒvɒɲuː,t͡ʃaβɜ
28,csegely,čeŋkɜ,FU,,,t͡ʃɛɡɛj,t͡ʃeŋkɜ
29,ѕiet,čijɜ,FU,,"čikɜ, čiŋɜ, čejɜ, čekɜ, čeŋɜ",ѕiɛt,t͡ʃijɜ
30,ѕok,čukkɜ,FU,,čokkɜ,ѕok,t͡ʃukkɜ
31,ѕovány,čupa,FU,,,ѕovaːɲ,t͡ʃupa
32,ez,e,U,,,ɛz,e
33,öcs,ećɜ,FU,,,øt͡ʃ,etɕɜ
34,eѕ,ećɜ,U,,,ɛѕ,etɕɜ
35,elő,eδe,FU,eleje,,ɛløː,eðe
36,éj,eje,FU,,üje,eːj,eje
37,él,elä,U,,,eːl,elæ
38,em,emä,U, embër,,ɛm,emæ
39,ük,ewkkɜ,FU, ükanya,,yk,eβkkɜ
40,őѕ,ićä,U,,,øːѕ,itɕæ
41,íny,ike,FU,,"ikeńe, ikene",iːɲ,ike
42,emlő,ime,U,,,ɛmløː,ime
43,íz,ipɜ,U,,"ipɜsɜ, ipɜśɜ",iːz,ipɜ
44,ër,irkä,FU,,ürkä,er,irkæ
45,iktat,jakka,FU,,,iktɒt,jakka
46,gyalog,jalka,FU,,,ɟɒloɡ,jalka
47,jel,jälke,FU,,,jɛl,jælke
48,ideg,jänte,U,,,idɛɡ,jænte
49,jég,jäŋe,FU,,,jeːɡ,jæŋe
50,év,jikä,FU,,ikä,eːv,jikæ
51,jó,joke,U,,,joː,joke
52,íj,joŋsɜ,U,,joŋksɜ,iːj,joŋsɜ
53,gyakori,jowkkɜ,FU,,,ɟɒkori,joβkkɜ
54,iv,juγe,FU,i,juke,iv,juɣe
55,jöv,j¨ŋɜ,Ug,,j¨γɜ j¨kɜ,jøv,j¨ŋɜ
56,hőѕ,kaća,U,,,høːѕ,katɕa
57,hagy,kaδ̕a,U,,,hɒɟ,kaðʲa
58,hölgy,kaδ̕wa,FU,,kaδ̕wɜ,hølɟ,kaðʲβa
59,hajít,kaja,FU,,,hɒjiːt,kaja
60,két,kakta,FU,,käktä,keːt,kakta
61,hal,kala,U,,,hɒl,kala
62,háló,kalɜ,U,,,haːloː,kalɜ
63,hál,kalɜ,FU,,,haːl,kalɜ
64,hályog,kaĺwɜ,FU,,,haːjoɡ,kaʎβɜ
65,háml,kama,U,,,haːml,kama
66,hány,kanɜ,FU,,,haːɲ,kanɜ
67,hág,kaŋɜ,Ug,,kaŋkɜ,haːɡ,kaŋɜ
68,hat,kattɜ,U,,,hɒt,kattɜ
69,kel,kälä,FU,,,kɛl,kælæ
70,kemény,kämä,FU,,,kɛmeːɲ,kæmæ
71,kéz,käte,FU,,,keːz,kæte
72,ki,ke,FU,,ki,ki,ke
73,keszeg,kećä,FU,,,kɛsɛɡ,ketɕæ
74,kengyel,kećɜ,FU,,,kɛnɟɛl,ketɕɜ
75,kécs,kečä,FU, isten kecskéje,,keːt͡ʃ,ket͡ʃæ
76,kéѕ,kečɜ,FU,,,keːѕ,ket͡ʃɜ
77,kéj,keje,FU,,k¨jγɜ,keːj,keje
78,köved,keje,FU,,,køvɛd,keje
79,këll,kelke,FU,,,kell,kelke
80,kevéѕ,kepä,FU,,,kɛveːѕ,kepæ
81,kerek,kerä,FU,,,kɛrɛk,keræ
82,kér,kerä,FU,,,keːr,keræ
83,köré,kere,FU,,,køreː,kere
84,kérëg,kere,FU,,,keːreɡ,kere
85,kígyó,kije,U,,küje,kiːɟoː,kije
86,követ,kijɜ,FU,,küjɜ,køvɛt,kijɜ
87,köd,kintɜ,U,,küntɜ,kød,kintɜ
88,könyök,kińä,FU,,"küńä, kinä, künä",køɲøk,o
89,könny,kińe,U,,"kińelɜ, küńe, küńelɜ",kønɲ,kiɲe
90,köt,kitke,FU,,kütke,køt,kitke
91,köz,kitɜ,FU,,kütɜ,køz,kitɜ
92,kő,kiwe,FU,,,køː,kiβe
93,hagyma,koćmɜ,FU,,kaćmɜ,hɒɟmɒ,kotɕmɜ
94,héj,koja,FU,,,heːj,koja
95,hajnal,koje,FU,,,hɒjnɒl,koje
96,hím,kojmɜ,U,,kojemɜ,hiːm,kojmɜ
97,here,kojra,U,,kojera,hɛrɛ,kojra
98,hal,kola,U,,,hɒl,kola
99,három,kolme,FU,,kulme,haːrom,kolme
100,halok,kolɜ,FU,,,hɒlok,kolɜ
101,hón,konɜ,FU,,"kana, konɜ + ala, kana + ala",hoːn,konɜ
102,hanyatt,konɜ,FU,,#NAME?,hɒɲɒtt,konɜ
103,hárѕ,końćkɜ,FU,,koćkɜ,haːrѕ,koɲtɕkɜ
104,hosszú,końćɜ,U,,koćɜ,hoʃsuː,koɲtɕɜ
105,hërvad,korpe,FW,,,hervɒd,korpe
106,horol,korɜ,FU,,korwɜ,horol,korɜ
107,ház,kota,FU,,,haːz,kota
108,ho,ku,U,,ko,ho,ku
109,holnap,kuδɜ,U,,,holnɒp,kuðɜ
110,hamu,kuδ̕mɜ,Ug,,,hɒmu,kuðʲmɜ
111,háj,kuje,FU,,,haːj,kuje
112,hall,kule,FU,,,hɒll,kule
113,halad,kulke,U,,,hɒlɒd,kulke
114,holló,kulɜ,U,,kulɜkɜ,holloː,kulɜ
115,homlok,kuma,U,,,homlok,kuma
116,hab,kumpa,U,,,hɒb,kumpa
117,hó,kumɜ,U,,,hoː,kumɜ
118,homály,kumɜ,FU,,,homaːj,kumɜ
119,had,kunta,FU,,,hɒd,kunta
120,hall,kuntalɜ,Ug,,,hɒll,kuntalɜ
121,joh,kunɜ,FU,,,joh,kunɜ
122,huny,kuńa,U,,,huɲ,kuɲa
123,hangya,kuńće,FU,,kuće,hɒnɟɒ,kuɲtɕe
124,húgy,kuńće,U,,kuće,huːɟ,kuɲtɕe
125,húgy,kuńćɜ,U,,kućɜ,huːɟ,kuɲtɕɜ
126,hó,kuŋe,U,,,hoː,kuŋe
127,harmat,kura,U,,,hɒrmɒt,kura
128,hornyol,kurńa,FU,,,horɲol,kurɲa
129,horó,kurɜ,FU,,,horoː,kurɜ
130,harántos,kurɜ,U,,,hɒraːntoʃ,kurɜ
131,harag,kurɜ,FU,,,hɒrɒɡ,kurɜ
132,húsz,kuśɜ,FU,,kojećɜ,huːs,kuɕɜ
133,hat,kutte,FU,,,hɒt,kutte
134,hát,kuttɜ,U,,,haːt,kuttɜ
135,küzd,k¨śɜ,Ug,,,kyzd,k¨ɕɜ
136,lapoѕ,lappɜ,U,,,lɒpoѕ,lappɜ
137,lép,läppɜ,FU,,"δäppɜ, leppɜ δeppɜ",leːp,læppɜ
138,lë,le,FU,,,le,le
139,lé,leme,FU,,lēme,leː,leme
140,lep,leppɜ,FU,,,lɛp,leppɜ
141,lő,lewe,FU,,,løː,leβe
142,lélëk,lewlɜ,FU,,,leːlek,leβlɜ
143,lök,likkä,FU,,lükkä,løk,likkæ
144,láng,lomɜ,FU,,lamɜ,laːnɡ,lomɜ
145,lágy,lońća,FU,,,laːɟ,loɲtɕa
146,lóg,loŋe,FU,,,loːɡ,loŋe
147,lúd,lunta,FU,,,luːd,lunta
148,légy,lȣńćɜ,FU,,,leːɟ,lȣɲtɕɜ
149,láp,lȣppɜ,FU,,,laːp,lȣppɜ
150,lepke,l¨ppɜ,U,,,lɛpkɛ,l¨ppɜ
151,levél,l¨pɜ,Ug,,lepɜ,lɛveːl,l¨pɜ
152,máj,maksa,U,,,maːj,maksa
153,ment,mänɜ,FU,,,mɛnt,mænɜ
154,messze,mećä,FU,,,mɛʃsɛ,metɕæ
155,méh,mekše,FU,,,meːh,mekʃe
156,mën,mene,U,,,men,mene
157,méz,mete,FU,,,meːz,mete
158,mëny,mińä,U,,,meɲ,miɲæ
159,mënny,mińɜ,FU,,,menɲ,miɲɜ
160,mëg,miŋä,FU,,müŋä,meɡ,miŋæ
161,mëggy,moĺɜ,FU,,moδ̕ɜ,meɡɟ,moʎɜ
162,máѕ,mu,FU,,,maːѕ,mu
163,múl,mulɜ,FU,,,muːl,mulɜ
164,mogyoró,muna,U,,,moɟoroː,muna
165,mag,muŋkɜ,FU,,,mɒɡ,muŋkɜ
166,mar,mura,U,,murɜ,mɒr,mura
167,moѕ,muśke,U,,mośke,moѕ,muɕke
168,mál,mȣlɜ,FU,,"mȣljɜ, mȣlkɜ",maːl,mȣlɜ
169,mar,mȣrɜ,U,,,mɒr,mȣrɜ
170,én,m¨,U,,,eːn,m¨
171,mi,m¨,U,,,mi,m¨
172,mi,mɜ,U,,,mi,mɜ
173,néz,näke,FU,,,neːz,næke
174,nyél,niδe,U,,nüδe,ɲeːl,niðe
175,név,nime,U,,,neːv,nime
176,nő,niŋä,U,,,nøː,niŋæ
177,nyújt,nȣjɜ,FU,,ńȣjɜ,ɲuːjt,nȣjɜ
178,nyelv,ńälmä,FU,,,ɲɛlv,ɲælmæ
179,nyel,ńele,U,,ńēle,ɲɛl,ɲele
180,négy,ńeljä,FU,,neljä,neːɟ,ɲeljæ
181,nyíl,ńe̮le,U,,ńōle,ɲiːl,ɲɤle
182,nyű,ńikɜ,U,,ńükɜ,ɲyː,ɲikɜ
183,nyal,ńole,U,,ńōle,ɲɒl,ɲole
184,nyúl,ńoma,U,,ńomalɜ,ɲuːl,ɲoma
185,nyirok,ńorɜ,U,,,ɲirok,ɲorɜ
186,nyuszt,ńukśe,FU,,ńukɜśɜ,ɲust,ɲukɕe
187,nyug,ńuŋɜ,FU,,,ɲuɡ,ɲuŋɜ
188,nyír,ń¨rɜ,Ug,,"ńȣrɜ, ńȣrkɜ",ɲiːr,ɲ¨rɜ
189,az,o,U,,u,ɒz,o
190,oѕtor,oćtɜrɜ,Ug,,,oѕtor,otɕtɜrɜ
191,al,oδa,FU,,,ɒl,oða
192,álom,oδamɜ,FU,,,aːlom,oðamɜ
193,áll,olɜ,FW,,,aːll,olɜ
194,agyar,ońćarɜ,FU,,,ɒɟɒr,oɲtɕarɜ
195,ár,ora,FU,,,aːr,ora
196,árva,orpa,FU,,"orpasɜ, orwa orwasɜ",aːrvɒ,orpa
197,fal,paδɜ,FU,,,fɒl,paðɜ
198,fajd,paδ̕tɜ,FU,,,fɒjd,paðʲtɜ
199,fagyal,pajɜ,U,,,fɒɟɒl,pajɜ
200,fakad,pakka,FU,,,fɒkɒd,pakka
201,fal,pala,U,,,fɒl,pala
202,falu,palγɜ,Ug,,,fɒlu,palɣɜ
203,fagy,paĺa,FU,,,fɒɟ,paʎa
