Target,Source,fp
ahitereiria,ɒstɹeɪliə,
aihikiriːmi,aɪskɹiːm,
anaterope,antɪləʊp,
arefana,ɛlɪfənt,
haina,t͡ʃaɪnə,
hapa,sʌpə,704.0
hepara,ʃɛpəd,
hepara,zɛbɹə,
hepetema,sɛptɛmbə,
hera,seəɹə,
hipi,ʃiːp,328.0
hiriwa,sɪlvə,
huitene,swiːdən,
huka,ʃʊɡə,304.0
hune,d͡ʒuːn,776.0
haːnuere,d͡ʒanjuːəɹi,
haːtarei,satədeɪ,
hoːiho,hɔːs,
hoːri,d͡ʒɔːd͡ʒ,
hoːteːra,həʊtɛl,
huːrae,d͡ʒuːlaɪ,
ihowaː,d͡ʒəhəʊvə,
kaiana,ɡiɑːnə,
kaŋaruː,kaŋɡɐɹuː,
kapa,kɒpə,54.0
karaka,klɒk,
kau,kaʊ,0.0
keke,keɪk,
kini,ɡɪni,0.0
kirihimete,kɹɪsməs,
koura,ɡəʊld,
kaːnapera,kanbəɹə,
kaːŋa,kɔːn,
kaːwana,ɡʌvənə,
kiː,kiː,0.0
koːura,ɡəʊld,
maina,maɪn,
maina,miːnə,
makanui,mɑːkə,
mane,mʌndeɪ,
mei,meɪ,0.0
merekara,mɪɹəkəl,
mihi,mɪsi,20.0
mihinare,mɪʃənəɹi,
miraka,mɪlk,
motokaː,məʊtəkɑː,18.0
motopaika,məʊtəbaɪk,
maːehe,mɑːt͡ʃ,
maːrena,maɹɪd͡ʒ,
moːkoː,sməʊkəʊ,
moːrena,ɡʊdmɔːnɪŋ,
nama,nʌmbə,
nanenane,nani,
neke,sneɪk,
noema,nəʊvɛmbə,
naːhinara,naʃənəl,
noːwei,nɔːweɪ,0.0
nuːpepa,njuːzpeɪpə,
oketopa,ɒktəʊbə,
pakaŋakite,pakaŋɡə,
paraire,fɹaɪdeɪ,
parakuihi,bɹɛkfəst,
paraːoa,flaʊə,
pea,beə,4.0
pepa,peɪpə,
pine,pɪn,1.0
pirihimana,pəliːsmən,
paːkete,pɒkɪt,
paːreti,pɒɹɪd͡ʒ,
peːpuere,fɛbɹuːəɹi,
poːkiha,fɒks,
poːti,vəʊt,
raiona,laɪən,
rama,ɹʌm,554.0
reipa,leɪbə,
riria,ɹɪɹiə,
riripeti,ɪlɪzəbəθ,
romeinia,ɹəʊmeɪniə,
raːpeti,ɹabɪt,
reːnata,lɛnəd,
reːpara,lɛpəd,
reːparo,lɛpəd,
taika,taɪɡə,
terepoːno,tɛlɪfəʊn,
terefoːno,tɛlɪfəʊn,
tia,diə,4.0
tia,stiə,502.0
tiaki,d͡ʒak,1028.0
tikinare,dɪkʃənəɹi,
tina,dɪnə,4.0
tiriti,stɹiːt,
tiriti,tɹiːti,
tiaː,d͡ʒɑː,95.0
taːite,θɜːzdeɪ,
taːke,tɜːki,126.0
taːone,taʊn,29.0
taːpu,tʌb,
taːra,dɒlə,134.0
taːriana,staliən,
teːneti,tɛnt,
tiː,tiː,0.0
tiːhema,dɪsɛmbə,
tiːra,stiːl,
toːhi,təʊst,
tuːrei,tjuːzdeɪ,
waea,waɪə,9.0
warapiː,wɒləbi,
wenerei,wɛnzdeɪ,
finirana,fɪnlənd,
faːmere,famɪli,55.0
wiki,wiːk,28.0
wiki,wɪk,3.0
wuruhi,wʊlf,
wurufi,wʊlf,
aːkuhata,ɔːɡəst,
aːperire,eɪpɹəl,
aːpiha,ɒfɪsə,
aːporo,apəl,74.0
iːkara,iːɡəl,
